"id";"kode_normalisasi";"nama_material";"deskripsi";"satuan";"harga";"created_at";"updated_at"
"1";"000000001030006";"TRF DIS;;20kV/400V;3P;1000kVA;DYN5;ID";;"U";"178251173";NULL;NULL
"2";"000000001030006";"TRF DIS;;20kV/400V;3P;1000kVA;DYN5;ID";;"U";"178251173";NULL;NULL
"3";"000000001030008";"TRF DIS;;20kV/400V;3P;1250kVA;DYN5;ID";;"U";"0";NULL;NULL
"4";"000000001030008";"TRF DIS;;20kV/400V;3P;1250kVA;DYN5;ID";;"U";"0";NULL;NULL
"5";"000000001030013";"TRF DIS;;20kV/400V;3P;250kVA;DYN5;OD";;"U";"88726000";NULL;NULL
"6";"000000001030013";"TRF DIS;;20kV/400V;3P;250kVA;DYN5;OD";;"U";"88726000";NULL;NULL
"7";"000000001030015";"TRF DIS;;20kV/400V;3P;315kVA;DYN5;OD";;"U";"22000000";NULL;NULL
"8";"000000001030015";"TRF DIS;;20kV/400V;3P;315kVA;DYN5;OD";;"U";"0";NULL;NULL
"9";"000000001030016";"TRF DIS;;20kV/400V;3P;400kVA;DYN5;ID";;"U";"121605000";NULL;NULL
"10";"000000001030016";"TRF DIS;;20kV/400V;3P;400kVA;DYN5;ID";;"U";"121605000";NULL;NULL
"11";"000000001030017";"TRF DIS;;20kV/400V;3P;400kVA;DYN5;OD";;"U";"113470515";NULL;NULL
"12";"000000001030017";"TRF DIS;;20kV/400V;3P;400kVA;DYN5;OD";;"U";"113470515";NULL;NULL
"13";"000000001030021";"TRF DIS;;20kV/400V;3P;630kVA;DYN5;ID";;"U";"74176574";NULL;NULL
"14";"000000001030021";"TRF DIS;;20kV/400V;3P;630kVA;DYN5;ID";;"U";"74176574";NULL;NULL
"15";"000000001030021";"TRF DIS;;20kV/400V;3P;630kVA;DYN5;ID";;"U";"37274497";NULL;NULL
"16";"000000001030022";"TRF DIS;;20kV/400V;3P;630kVA;DYN5;OD";;"U";"129539300";NULL;NULL
"17";"000000001030022";"TRF DIS;;20kV/400V;3P;630kVA;DYN5;OD";;"U";"129539300";NULL;NULL
"18";"000000001030062";"TRF DIS;;20kV/400V;3P;100kVA;YZN5;OD";;"U";"30008000";NULL;NULL
"19";"000000001030062";"TRF DIS;;20kV/400V;3P;100kVA;YZN5;OD";;"U";"0";NULL;NULL
"20";"000000001030063";"TRF DIS;;20kV/400V;3P;160kVA;YZN5;OD";;"U";"38500000";NULL;NULL
"21";"000000001030063";"TRF DIS;;20kV/400V;3P;160kVA;YZN5;OD";;"U";"0";NULL;NULL
"22";"000000001030114";"TRF DIS;D3;20kV/400V;3P;400kVA;DYN5;OD";;"U";"86981093";NULL;NULL
"23";"000000001030114";"TRF DIS;D3;20kV/400V;3P;400kVA;DYN5;OD";;"U";"86981093";NULL;NULL
"24";"000000001030126";"TRF DIS;;20KV/400V;3P;400KVA;DYN5;ID-ADB";;"U";"105410000";NULL;NULL
"25";"000000001030126";"TRF DIS;;20KV/400V;3P;400KVA;DYN5;ID-ADB";;"U";"105410000";NULL;NULL
"26";"000000001030137";"TRF DIS;D3;20kV/400V;3P;630kVA;Dyn5;OD";;"U";"0";NULL;NULL
"27";"000000001030137";"TRF DIS;D3;20kV/400V;3P;630kVA;Dyn5;OD";;"U";"0";NULL;NULL
